Model,Accuracy,F1 Score
XGBoost,0.4961269601360287,0.45408417757966646
LightGBM,0.4937653504628755,0.4449960623240151
RandomForest,0.4688267523143775,0.45913412758054295
LogisticRegression,0.42943510296618176,0.339682719671449
